FinInstrmId,TckrSymb
502589,VAPIPPR
502820,DCM
502865,FORBESCO
502873,HPCOTTON
502893,UNITEDINT
502933,KATRSPG
502937,KESORAMIND
502958,LAKSHMIMIL
502986,VTL
503031,PENINLAND
503092,PASUSPG
503100,PHOENIXLTD
503101,MARATHON
503127,RAJABAH
503162,RELCHEMQ
503169,RUBYMILLS
503229,SIMPLXREA
503310,SWANENERGY
503349,VICTMILL
503624,ZSVARAJT
503641,ZODIACVEN
503657,VEERENRGY
503663,TILAK
503669,KKFIN
503675,WAGEND
503685,MEDIAONE
503722,BANSWRAS
503772,MODWOOL
503776,MODIPON
503804,SHRIDINE
503806,SRF
503811,SIYSIL
503816,SWADPOL
503837,SHRAJSYNQ
503960,BBL
504000,ELPROINTL
504028,GEE
504036,HIRECT
504058,NIPPOBATRY
504067,ZENSARTECH
504076,JYOTI
504080,JSLINDL
504084,KAYCEEI
504092,INDOKEM
504093,PANAENERG
504112,NELCO
504132,PERMAGN
504176,HIGHENE
504180,STDBAT
504212,UNIVCABLES
504220,WSIND
504240,DLTNCBL
504258,LAKSELEC
504273,MODULEX
504286,DELTAMAGNT
504340,CONFINT
504341,RELTD
504351,EMPOWER
504378,NYSSACORP
504380,FLOMIC
504392,KRISHNA
504397,GANHOLD
504605,UNIABEXAL
504614,SARDAEN
504646,BGWTATO
504648,BOMBWIR
504697,GALADA
504741,INDIANHUME
504786,INVPRECQ
504810,INFORTEC
504840,KAIRA
504879,ORIENTABRA
504882,NATIONSTD
504908,DUNCANENG
504918,SANDUMA
504959,STOVACQ
504961,TATAYODOGA
504966,TINPLATE
504973,CHOLAHLDNG
504988,ZWELCAST
505010,AUTOAXLES
505036,ACGL
505075,SETCO
505141,SCOOTER
505160,TALBROAUTO
505163,ZFSTEERING
505192,SMLISUZU
505196,TIL
505200,EICHERMOT
505212,JAINEX
505216,ALFREDHE
505232,VELJAN
505242,DYNAMATECH
505250,GGDANDE
505255,GMM
505283,KIRLPNU
505299,KPT
505302,LXMIATO
505324,MANUGRAPH
505355,NESCO
505358,INTEGRAEN
505368,REVATHI
505400,TEXINFRA
505412,WENDT
505509,RESPONIND
505515,SHYMINV
505523,MAHACORP
505526,DOLATALGO
505533,WESTLIFE
505537,ZEEL
505590,SVPGLOB
505650,SKYLMILAR
505681,BIMETAL
505688,BHARATGEAR
505690,BRADYM
505693,LATIMMETAL
505700,ELECON
505710,GRAUWEIL
505712,HIMTEK
505714,GABRIEL
505720,HERCULES
505725,AQFINTECH
505726,IFBIND
505729,SINGER
505737,INTLCOMBQ
505744,FMGOETZE
505750,JOSTS
505790,SCHAEFFLER
505797,MPCOSEMB
505800,RANEHOLDIN
505807,ROLCOEN
505827,SNL
505840,JAIPAN
505850,MANCREDIT
505854,TRF
505872,WPIL
505890,KENNAMET
505893,HINDHARD
505978,TRITONV
506003,SUDAI
506022,PRAKASH
506074,ARSHIYA
506076,GRINDWELL
506079,LAKPRE
506105,STANROS
506109,GENESYS
506122,PANKAJPIYUS
506128,PARNAXLAB
506146,VIVIDHA
506184,KANANIIND
506186,GCKL
506194,ASL
506197,BLISSGVS
506222,STYRENIX
506235,ALEMBICLTD
506248,AMNPLST
506260,ANUHPHR
506261,MODISONLTD
506285,BAYERCROP
506365,CHEMOPH
506390,HEUBACHIND
506395,COROMANDEL
506401,DEEPAKNI
506405,DMCC
506414,FERMENTA
506480,GOCLCORP
506520,JAYCH
506522,JLMORI
506525,KANORICHEM
506528,KELENRG
506532,NITTAGELA
506543,MPAGI
506579,ORIENTCQ
506590,PCBL
506597,AMAL
506605,POLYCHEM
506618,PUNJABCHEM
506640,GUJCMDS
506642,SADHNANIQ
506655,SUDARSCHEM
506680,TRELCHE-B
506685,ULTRAMAR
506687,TRANSPEK
506690,UNICHEMLAB
506734,MYSORPETRO
506767,ALKYLAMINE
506808,TUTIALKA
506820,ASTRAZEN
506852,PRIMO
506854,TANFACIND
506858,GUJPETR
506863,SWADEIN
506879,GUJTHEM
506906,SCBL
506910,JAYSYN
506919,MAKERSL
506935,CONTCHM
506943,JBCHEPHARM
506975,RAJSPTR
506979,APTPACK
506981,BLUECHIPT
507155,JAGAJITIND
507180,KESARENT
507205,TI
507300,RAVALSUGAR
507315,SAKHTISUG
507410,WALCHANNAG
507438,IFBAGRO
507442,DHARSUGAR
507474,KFBL
507486,CAPRO
507488,GMBREW
507490,RANASUG
507498,PICCASUG
507514,SDBL
507526,ASALCBR
507552,FOODSIN
507580,IVP
507598,KLRFM
507609,OLYOI
507621,MLKFOOD
507645,POLSON
507685,WIPRO
507690,ORIBEVER
507717,DHANUKA
507747,TTKHEALTH
507753,TGVSL
507759,LIMECHM
507779,KANPRPLA
507785,TAINWALCHM
507789,JAGSNPHARM
507794,KHAICHEM
507813,NOL
507815,GILLETTE
507817,WIREFABR
507828,ANSALHSG
507833,COMPUPN
507836,MCCHRLS-B
507852,ADDIND
507864,PIONRINV
507872,ASHNOOR
507878,UNITECH
507880,VIPIND
507910,FIBERWEB
507912,LKPFIN
507944,BAJAJST
507946,KIDUJA
507948,KEYCORP
507960,GUJHOTE
507966,RASRESOR
507970,PARMCOS-B
507981,JINDHOT
507998,SIMMOND
508136,BNALTD
508486,HAWKINCOOK
508494,WARRENTEA
508571,COCHMAL
508664,BESTEAST
508670,NEAGI
508807,ISTLTD
508814,COSMOFIRST
508869,APOLLOHOSP
508875,NITINCAST
508905,SMIFS
508906,EVERESTIND
508922,MSRINDIA
508933,AYMSYNTEX
508941,PANCARBON
508954,FINKURVE
508956,HBLEAS
508969,SULABEN
508980,FRONTCAP
508989,NAVNETEDUL
508996,SATRAPROP
509009,AUSOMENT
509020,RUCHINFRA
509040,NETLINK
509048,LANCORHOL
509051,INDINFO
509053,BANASFN
509055,VISAKAIND
509069,INFOMEDIA
509073,HATHWAYB
509077,PRESSMN
509079,GUFICBIO
509084,PHOTON
509152,GRPLTD
509162,INDAG
509196,MMRUBBR-B
509220,PTL
509243,TVSSRICHAK
509438,BENARAS
509449,BHAGWOX
509470,BOMOXY-B1
509472,CRAVATEX
509480,BERGEPAINT
509486,CAPRIHANS
509488,GRAPHITE
509496,ITDCEM
509525,EMPIND
509546,GRAVISSHO
509557,GARFIBRES
509563,GARWAMAR
509567,GOACARBON
509597,HARDCAS
509631,HEG
509635,HINDCOMPOS
509675,HIL
509692,INDIANCARD
509709,INTLCONV
509715,JAYSHREETEA
509760,MODRNSH
509820,HUHTAMAKI
509835,PREMSYN
509874,SHALPAINTS
509895,HINDMILL
509930,SUPREMEIND
509945,THACKER
509960,UPHOT
509966,VSTIND
510245,SWASTIVI
511000,MADHUSE
511012,YAMNINV
511016,PREMCAP
511018,ZMILGFIN
511034,JINDRILL
511066,SAKTHIFIN
511076,SATINDLTD
511092,JMDVL
511108,SHIVTEX
511110,VBDESAI
511116,QUADRANT
511122,1STCUS
511131,KAMANWALA
511147,WSFX
511153,ANJANIFOODS
511187,MILLENNIUM
511194,ICDSLTD
511196,CANFINHOME
511208,IVC
511218,SHRIRAMFIN
511243,CHOLAFIN
511333,VLSFINANCE
511355,INDCEMCAP
511377,MEHIF
511391,INTRGLB
511401,MCLTD
511411,SHRISTI
511413,CREST
511431,VAKRANGEE
511441,GUJCRED
511447,SYLPH
511463,ALEXANDER
511473,INDBANK
511493,VCKCAP
511501,BHARAT
511505,CAPITALT
511509,VIVOBIOT
511523,VEERHEALTH
511525,PANINDIAC
511533,SAHARAHOUS
511535,NDASEC
511543,GSBFIN
511549,MORARKFI
511551,MONARCH
511557,PROFINC
511559,TIMESGTY
511571,SODFC
511585,REGTRUS
511589,AVONMORE
511601,YASHMGM
511605,ARIHCAPM
511609,ISLCONSUL
511611,DCMFINSERV
511626,RRFIN
511628,IMCAP
511630,SAMBHAAV
511654,SUGALDAM
511658,NETTLINX
511672,SCANSTL
511676,GICHSGFIN
511688,MATHEWE
511692,AJCON
511696,CHRTEDCA
511700,STANCAP
511710,CUBIFIN
511712,RELICTEC
511714,NIMBSPROJ
511716,ESCORTSFIN
511724,BAIDFIN
511726,VIPUL
511728,KZLFIN
511736,USHDI
511740,MEHTAHG
511742,UGROCAP
511754,SAHLIBHFI
511756,ABIRAFN
511758,MANSIFIN
511760,SEVENHILL
511764,AASTAFIN
511766,MUTHTFN
511768,MASTERTR
512008,EFCIL
512018,CNIRESLTD
512020,ZSARACOM
512036,KAPILCO
512047,ROYALIND
512048,LUHARUKA
512064,VISVEN
512068,DECNGOLD
512070,UPL
512093,CRANESSOFT
512097,SAICOM
512103,NIDHGRN
512131,SIGNETIND
512149,AVANCE
512161,SECURKLOUD
512165,ABANSENT
512175,VAMA
512179,SUNTECK
512197,SILVERO
512215,STEPHANOTIS
512217,PRISMMEDI
512229,VERITAS
512237,JAICORPLTD
512247,ASHCAP
512257,SVARTCORP
512267,MMWL
512296,BHAGYNAGAR
512297,SHANTAI
512301,CHMBBRW
512329,KRL
512379,CRESSAN
512381,STARTECK
512393,SHARDUL
512399,SERA
512425,NIRAVCOM
512437,APOLLOFI
512441,ENBETRD
512453,SHRJAGP
512455,LLOYDSME
512463,SHRGLTR
512477,BETXIND
512481,POLYTEX
512485,DHANCOT
512489,OASISEC
512493,GARNETINT
512499,SHALPRO
512519,DONEAR
512527,SUPER
512529,SEQUENT
512531,STCINDIA
512553,ZENITHEXPO
512559,KOHINOOR
512565,RTEXPO
512573,AVANTI
512587,ZODJRDMKJ
512589,SITAENT
512591,PULSRIN
512597,KEYFINSER
512599,ADANIENT
512604,HARIAEXPO
512608,BHANDHOS
512618,RLF
512624,REGENTRP
512626,ORBTEXP
512634,SAVERA
513005,VBCFERROQ
513010,TATASTLLP
513023,NAVA
513043,REMIEDEL
513059,GSAUTO
513063,TRANSFRE
513097,SHBCLQ
513108,GANDHITUBE
513117,AMFORG
513119,ABCGAS
513121,ORICON
513149,ACROW
513173,STLSTRINF
513228,PENIND
513250,JYOTISTRUC
513252,JAYUSH
513262,SSWL
513269,MANINDS
513303,MDRNSTL
513307,SYNTHFO
513309,GOLKONDA
513349,AJMERA
513353,COCHINM
513361,ISWL
513369,KVFORGE
513375,CARBORUNIV
513377,MMTC
513397,VALLABHSQ
513401,ASHIS
513403,PMTELELIN
513418,SMFIL
513422,BLOIN
513434,TATAMETALI
513436,SHAHALLOYS
513446,JSWISPL
513452,ELANGO
513456,KANSHST
513472,SIMPLEXCAS
513488,SSWRL
513498,SOUTHMG
513502,BAROEXT
513507,GUJCONT
513509,KALYANIFRG
513511,PANCHMAHQ
513513,ADITYA
513515,SRIND
513517,STEELCAS
513519,PITTIENG
513528,GLITTEKG
513532,PRADPME
513536,GNRL
513548,SHRDAIS
513554,MAHASTEEL
513566,NOVIS
513575,STERPOW
513599,HINDCOPPER
513629,TULSYAN
513642,AXELPOLY
513683,NLCINDIA
513687,SPECTRA
513693,KAJARIR
513699,SOLIDSTON
513709,SHILGRAVQ
513713,WHITEORG
513729,AROGRANITE
514010,HIMFIBP
514028,RAJKSYN
514030,DEEPAKSP
514036,LOYALTEX
514043,HIMATSEIDE
514045,BSL
514060,EVERTEX
514087,PBMPOLY
514113,ADINATH
514138,SURYALA
514140,SURYVANSP
514142,TTL
514162,WELSPUNIND
514165,INDIANACRY
514167,GANECOS
514171,CEETAIN
514175,VARDMNPOLY
514183,BLACKROSE
514197,STCORP
514215,BINNY
514223,RAMGOPOLY
514234,SANGAMIND
514238,MKVENTURES
514240,KUSHIND
514248,SRECR
514266,ZENIFIB
514272,BHILSPIN
514274,AARVEEDEN
514280,SANTETX
514286,ASHIMASYN
514300,PIONEEREMB
514302,VIPPYSP
514316,RAGHUSYN
514322,KAMADGIRI
514326,PATSPINLTD
514330,ONEGLOBAL
514332,NEOINFRA
514354,PREMIERPOL
514358,EVERFIN
514360,KRRAIL
514378,YARNSYN
514386,GUJCOTEX
514400,GARWSYN
514418,MANORG
514428,HINDADH
514442,SRIKPRIND
514448,JYOTIRES
514450,MHLXMIRU
514454,SOUTLAT
514470,WINSOMTX
515008,MODINSU
515018,REGENCERAM
515030,ASAHIINDIA
515037,MURUDCERA
515043,SAINTGOBAIN
515055,ANANTRAJ
515059,MADHUDIN
515085,RESTILE
515093,MADHAV
515127,RAMASIGNS
515147,HALDYNGL
516003,DUROPLY
516016,SHREYANIND
516020,AGIOPAPER
516022,STARPAPER
516030,YASHPAKKA
516062,NATPLY
516064,ARROWGREEN
516072,VISHNU
516078,JUMBO
516082,NRAGRINDQ
516092,3PLAND
516096,SANPA
516106,SHKARTP
516108,STHINPA
516110,FAMILYCARE
517015,VINDHYATEL
517035,RIR
517041,ADORWELD
517044,IDM
517059,SALZER
517063,JETKINGQ
517119,PCS
517146,USHAMART
517166,SPELS
517168,SUBROS
517170,EDVENSWA
517174,HONAUT
517201,SWITCHTE
517206,LUMAXIND
517214,DIGISPICE
517236,CALCOM
517238,DYNAVSN
517246,BCCFUBA
517258,PRECISIO
517264,FINELINE
517271,HBLPOWER
517288,GUJARATPOLY
517300,GIPCL
517334,MOTHERSON
517344,MINDTECK
517354,HAVELLS
517356,ACIIN
517360,SBECSYS
517370,INCAP
517372,GUJINTRX
517380,IGARASHI
517385,SYMPHONY
517393,VINTRON
517397,PANELEC
517415,LEENEE
517417,PATELSAI
517421,BUTTERFLY
517429,ATHENAGLO
517437,DUTRON
517447,RSSOFTWARE
517449,MAGNAELQ
517467,MARSONS
517477,ELNET
517494,ACCEL
517498,WEBELSOLAR
517500,ROTO
517506,TTKPRESTIG
517514,DHINDIA
517522,RAJGLOWIR
517530,SURANAT&P
517536,ONWARDTEC
517544,CENTUM
517546,ALFATRAN
517554,NHCFOODS
517556,PVP
517562,TRIGYN
517569,KEI
518011,KEERTHI
518017,BHEEMACEM
518075,SURAJ
518091,APCL
519003,MODINATUR
519064,ZKHANDEN
519091,TASTYBIT
519097,RITESHIN
519105,AVTNPL
519126,HNDFDS
519136,NAHARINDUS
519152,VADILENT
519156,VADILALIND
519183,ADFFOODS
519191,RGRL
519214,WILLIMFI
519216,AJANTSOY
519224,WILLAMAGOR
519230,RICHIRICH
519234,SIEL
519238,SPTRSHI
519242,SRDAPRT
519262,PRIMAGR
519279,MADHURIND
519285,TARAI
519287,MODAIRY
519295,BAMBINO
519299,PRIMIND
519307,VIKASWSP
519331,VSFPROJ
519359,POONADAL
519383,ANIKINDS
519397,SHINDL
519415,KMGMILK
519421,KSE
519455,NARBADA
519457,VIRATCRA
519463,IBINFO
519471,AMBARPIL
519475,CHORDIA
519477,CIANAGRO
519483,TAIIND
519494,NKIND
519500,BKV
519528,NORBTEAEXP
519532,ASIANTNE
519552,HERITGFOOD
519566,SIMRAN
519600,CCL
519602,KELLTONTEC
519604,SURFI
519606,INTEGFD
519612,MAHAANF
520008,RICOAUTO
520021,OMAXAUTO
520043,MUNJALSHOW
520051,JAMNAAUTO
520056,SUNCLAYLTD
520057,JTEKTINDIA
520059,MUNJALAU
520066,JAYBARMARU
520073,RACLGEAR
520075,SAMKRG
520111,RATNAMANI
520113,VESUVIUS
520119,ASAL
520121,ARCEEIN
520123,ABCINDQ
520127,BALTE
520131,COARO
520141,SIBARAUT
520151,SHREYAS
520155,STARLOG
521005,TITANIN
521014,EUROTEXIND
521016,ICIL
521018,MARALOVER
521034,SOMATEX
521048,ADVLIFE
521054,KAKTEX
521062,OCTAVE
521064,TRIDENT
521070,ALOKTEXT
521080,PASARI
521097,AMARJOTHI
521105,OLYMPTX
521109,NAGREEKEXP
521113,SUDTIND-B
521131,SBFL
521137,EUREKAI
521141,ADITYASP
521149,PRIMEURB
521151,DHANFAB
521161,SLSTLQ
521163,ZODIACLOTH
521178,SRMCL
521180,SUPERSPIN
521188,UNITEDTE
521194,SILINV
521200,SURYALAXMI
521206,SAMTEX
521210,CITYMAN
521216,DHANROTO
521220,DAMOINDUS
521222,SANBLUE
521226,UNIROYAL
521228,TATIAGLOB
521232,SUNILTX
521234,SRINACHA
521240,SAMBANDAM
521246,PARASPETRO
521248,KITEX
522001,CRANEX
522004,BATLIBOI
522005,AUSTENG
522014,UNIDT
522017,FLUIDOM
522027,EMAINDIA
522029,WINDMACHIN
522034,SHANTIGEAR
522064,HONDAPOWER
522073,HITECHGEAR
522074,ELGIEQUIP
522091,UVDRHOR
522101,KLBRENG-B
522105,BIRLAPREC
522108,YUKEN
522113,TIMKEN
522122,VOITHPAPR
522134,ARTSONEN
522152,SOLIMAC
522165,INDSILHYD
522183,ITL
522195,FRONTSP
522205,PRAJIND
522207,RASANDIK
522215,HLEGLAS
522217,GUJAPOLLO
522229,TANAA
522231,CONART
522237,SHIVAGR
522241,MMFL
522245,IYKOTHITE
522249,MAYURUNIQ
522251,CENLUB
522257,RAJOOENG
522267,VJLAXMIE
522273,AHMDSTE
522275,GET&D
522281,RAMRAT
522285,JAYNECOIND
522287,KALPATPOWR
522292,CANDOUR
522294,TIGLOB
522295,CONTROLPR
522650,BEMHY
523007,ANSALBU
523011,WEIZMANIND
523019,BNRSEC
523021,RISHITECH
523023,SINCLAIR
523025,SAFARIND
523054,ZBINTXPP
523062,JJFINCOR
523100,COSMOFE
523116,SANCTRN
523120,ADORMUL
523127,EIHAHOTELS
523144,MEDICAPQ
523151,OTCO
523160,MORGANITE
523186,BAPACK
523204,ABAN
523207,KOKUYOCMLN
523229,BHARATSE
523232,CONTPTR
523242,NBFOOT
523248,MACPLASQ
523260,PEARLPOLY
523261,VENKYS
523269,ADVANIHOTR
523277,GVFILM
523283,SUPERHOUSE
523289,RAMAVISION
523301,TCPLPACK
523309,SHRIGANG
523319,BALMLAWRIE
523323,KOVAI
523329,ELDEHSG
523351,STDSHOE
523367,DCMSHRIRAM
523369,DCMSRMIND
523371,MAWANASUG
523373,MINID
523384,MAHAPEXLTD
523385,NILKAMAL
523391,NAHARPOLY
523395,3MINDIA
523398,JCHAC
523405,JMFINANCIL
523411,ADCINDIA
523419,TNTELE
523425,SUNRAJDI
523445,RIIL
523449,SHARP
523457,LINDEINDIA
523465,INDBNK
523467,JAIMATAG
523475,LOTUSCHO
523483,PACIFICI
523489,CMMHOSP
523519,UNIOFFICE
523537,APMIN
523539,PRECWIRE
523550,KRYPTONQ
523558,SWISSMLTRY
523566,MARBU
523586,INDTONER
523594,KUNSTOFF
523598,SCI
523606,SIKA
523610,ITI
523618,DREDGECORP
523620,PHRMASI
523628,PODDAR
523630,NFL
523638,IPRINGLTD
523642,PIIND
523648,PLASTIBLEN
523650,YASHINNO
523652,KKPLASTICK
523660,WATERBASE
523672,FLEXFO
523676,GOLKUNDIA
523694,APCOTEXIND
523696,FORTISMLR
523704,MASTEK
523708,EIMCOELECO
523710,SAYAJIHOTL
523716,ASHIANA
523732,ECOBOAR
523736,DVL
523752,TIHIL
523754,MAHEPC
523782,MITSHI
523790,SHUKJEW
523792,MAZDALTD
523796,VICEROY
523826,SOVERDIA
523828,MENONBE
523832,MUKATPIP
523836,GUJRAFIA
523838,SIMPLEXINF
523840,INNOVTEC
523842,SUPTANERY
523844,CONSTRONIC
523850,AXTEL
523874,PRECISION
523896,APIL
524000,POONAWALLA
524013,HINFLUR
524019,KINGFA
524031,PATIDAR
524037,RAMAPHO
524038,VENLONENT
524051,POLYPLEX
524075,ALBERTDA
524080,HARLETH
524091,CARYSIL
524109,KABRAEXTRU
524129,VINYLINDIA
524136,PCCOSMA
524156,TCMLMTD
524164,IOLCP
524174,KESARPE
524200,VINATIORGA
524202,LACTOSE
524208,AARTIIND
524210,PNTKYOR
524212,WANBURY
524218,RESONANCE
524226,GAEL
524230,RCF
524238,GUJINJEC
524280,KOPRAN
524288,AIMCOPEST
524314,GUJTERC
524324,SEYAIND
524330,JAYAGROGN
524332,BCLIL
524336,SHHARICH
524342,INDOBORAX
524348,AARTIDRUGS
524370,BODALCHEM
524372,ORCHIDPHAR
524394,VIMTALABS
524396,BIOFILCHEM
524400,ISHITADR
524404,MARKSANS
524408,UNIVSTAR
524412,AREYDRG
524414,NORRIS
524434,ASINPET
524440,CAMEXLTD
524444,EVEXIA
524458,INDOEURO
524470,SYNCOMF
524480,RIDDHI
524488,SVCIND
524494,IPCALAB
524500,KILITCH
524502,ýýRAAJMEDI
524506,CORALAB
524516,BACPHAR
524518,KREBSBIO
524520,KMCSHIL
524522,LAFFANSQ
524534,BHASKAGR
524542,SUKHJITS
524558,NEULANDLAB
524564,GAYATRIBI
524570,PODARPIGQ
524576,VIVIDIND
524580,PRIYALT
524582,TIRUSTA
524592,JDORGOCHEM
524594,ASHOKALC
524598,AKSCHEM
524606,BERLDRG
524614,INDXTRA
524622,ISTRNETWK
524624,GAGAN
524628,PARKERAC
524632,SHUKRAPHAR
524634,ALUFLUOR
524640,ARCHITORG
524642,SIKOZY
524648,INDOAMIN
524652,INDSWFTLTD
524654,NATCAPSUQ
524661,WELCURE
524663,BIBCL
524667,SOTL
524669,HESTERBIO
524675,KABSON
524687,BASANTGL
524703,SANDUPHQ
524709,NACLIND
524711,VISTAPH
524715,SUNPHARMA
524717,TITANBIO
524731,JENBURPH
524735,HIKAL
524742,CAPPL
524743,FISCHER
524748,LINKPH
524752,DECIPHER
524768,EMMESSA
524774,NGLFINE
524790,EVERESTO
524804,AUROPHARMA
524808,PHYTO
524816,NATCOPHARM
524818,DYNAMIND
524820,PANAMAPET
524824,BALPHARMA
524828,BDH
526025,GLOBUSCON
526027,CUBEXTUB
526043,POLYCHMP
526073,GALXBRG
526081,SCAGRO
526095,RALEGRA
